Regional Member,Year,GDP Growth,Unit of Measurement,Subregion,Country Code,Source
Niue,2021 forecast,,%,The Pacific,NIU,Asian Development Outlook (ADO) 2020 Update (September 2020)
Pakistan,2018,5.5,%,South Asia,PAK,Asian Development Outlook (ADO) 2020 Update (September 2020)
Pakistan,2019,1.9,%,South Asia,PAK,Asian Development Outlook (ADO) 2020 Update (September 2020)
Pakistan,2020 forecast,-0.4,%,South Asia,PAK,Asian Development Outlook (ADO) 2020 Update (September 2020)
Pakistan,2021 forecast,2.0,%,South Asia,PAK,Asian Development Outlook (ADO) 2020 Update (September 2020)
Palau,2018,5.8,%,The Pacific,PLW,Asian Development Outlook (ADO) 2020 Update (September 2020)
Palau,2019,-1.8,%,The Pacific,PLW,Asian Development Outlook (ADO) 2020 Update (September 2020)
Palau,2020 forecast,-9.5,%,The Pacific,PLW,Asian Development Outlook (ADO) 2020 Update (September 2020)
Palau,2021 forecast,-12.8,%,The Pacific,PLW,Asian Development Outlook (ADO) 2020 Update (September 2020)
Papua New Guinea,2018,-0.8,%,The Pacific,PNG,Asian Development Outlook (ADO) 2020 Update (September 2020)
Papua New Guinea,2019,5.0,%,The Pacific,PNG,Asian Development Outlook (ADO) 2020 Update (September 2020)
Papua New Guinea,2020 forecast,-2.9,%,The Pacific,PNG,Asian Development Outlook (ADO) 2020 Update (September 2020)
Papua New Guinea,2021 forecast,2.5,%,The Pacific,PNG,Asian Development Outlook (ADO) 2020 Update (September 2020)
People's Republic of China,2018,6.7,%,East Asia,CHN,Asian Development Outlook (ADO) 2020 Update (September 2020)
People's Republic of China,2019,6.1,%,East Asia,CHN,Asian Development Outlook (ADO) 2020 Update (September 2020)
People's Republic of China,2020 forecast,1.8,%,East Asia,CHN,Asian Development Outlook (ADO) 2020 Update (September 2020)
People's Republic of China,2021 forecast,7.7,%,East Asia,CHN,Asian Development Outlook (ADO) 2020 Update (September 2020)
Philippines,2018,6.3,%,Southeast Asia,PHL,Asian Development Outlook (ADO) 2020 Update (September 2020)
Philippines,2019,6.0,%,Southeast Asia,PHL,Asian Development Outlook (ADO) 2020 Update (September 2020)
Philippines,2020 forecast,-7.3,%,Southeast Asia,PHL,Asian Development Outlook (ADO) 2020 Update (September 2020)
Philippines,2021 forecast,6.5,%,Southeast Asia,PHL,Asian Development Outlook (ADO) 2020 Update (September 2020)
Republic of Korea,2018,2.7,%,East Asia,KOR,Asian Development Outlook (ADO) 2020 Update (September 2020)
